ip,port,type,country,anonymity,source,last_checked,response_time_ms
194.62.248.238,1081,socks5,DE,elite,geonode,2026-08-01T03:31:24.305Z,4
45.86.155.139,9100,socks5,DE,elite,geonode,2026-08-01T03:31:24.305Z,8
51.195.2.39,1080,socks5,DE,elite,geonode,2026-08-01T03:31:24.305Z,8
206.123.156.222,8616,socks5,GB,elite,geonode,2026-08-01T03:31:24.305Z,10
206.123.156.238,6025,socks5,GB,elite,geonode,2026-08-01T03:31:24.305Z,10
193.187.148.198,9150,socks5,DE,elite,geonode,2026-08-01T03:31:24.305Z,11
206.123.156.235,9671,socks5,GB,elite,geonode,2026-08-01T03:31:24.305Z,14
167.233.56.179,1081,socks5,DE,elite,geonode,2026-08-01T03:31:24.305Z,18
206.123.156.242,5188,socks5,GB,elite,geonode,2026-08-01T03:31:24.305Z,66
147.93.141.97,10808,socks5,US,elite,geonode,2026-08-01T03:31:24.305Z,100
23.26.125.56,40000,socks5,US,elite,geonode,2026-08-01T03:31:24.305Z,123
38.255.17.248,40001,socks5,US,elite,geonode,2026-08-01T03:31:24.305Z,152
8.217.112.43,1011,socks5,HK,elite,geonode,2026-08-01T03:31:24.305Z,185
218.95.39.109,59999,socks5,CN,elite,geonode,2026-08-01T03:31:24.305Z,236
221.225.48.116,8989,socks5,CN,elite,geonode,2026-08-01T03:31:24.305Z,269
43.133.22.248,9091,socks5,JP,elite,geonode,2026-08-01T03:31:24.305Z,278
154.26.154.47,1080,socks5,AU,elite,geonode,2026-08-01T03:31:24.305Z,287
38.76.202.10,1080,socks5,HK,elite,geonode,2026-08-01T03:31:24.305Z,292
84.127.163.101,9150,socks5,ES,elite,geonode,2026-08-01T03:31:24.305Z,409
45.43.60.220,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
110.49.66.210,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
142.54.235.9,4145,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
67.201.35.145,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
38.55.145.46,1081,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.68.213.51,1111,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
145.223.46.94,5644,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.212.195.34,8085,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
5.75.168.247,8062,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
138.124.59.186,1080,socks5,FI,elite,github-raw,2026-08-01T03:31:24.305Z,
201.186.41.170,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
202.8.29.90,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
45.61.118.157,5854,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
41.184.92.220,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.177.235.194,83,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
209.38.214.48,3128,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
